District,Sector
Gisagara,Save
Huye,All
Huye,Gishamvu
Huye,Huye
Huye,Karama
Huye,Kigoma
Huye,Kinazi
Huye,Maraba
Huye,Mbazi
Huye,Mukura
Huye,Ngoma
Huye,Ruhashya
Huye,Rusatira
Huye,Rwaniro
Huye,Simbi
Huye,Tumba
Kamonyi,All
Kamonyi,Gacurabwenge
Kamonyi,Karama
Kamonyi,Kayenzi
Kamonyi,Kayumbu
Kamonyi,Mugina
Kamonyi,Musambira
Kamonyi,Ngamba
Kamonyi,Nyamiyaga
Kamonyi,Nyarubaka
Kamonyi,Rugarika
Kamonyi,Rukoma
Kamonyi,Runda
Karongi,All
Karongi,Bwishyura
Karongi,Gashari
Karongi,Gishyita
Karongi,Gitesi
Karongi,Mubuga
Karongi,Murambi
Karongi,Murundi
Karongi,Mutuntu
Karongi,Rubengera
Karongi,Rugabano
Karongi,Ruganda
Karongi,Rwankuba
Karongi,Twumba
Kayonza,All
Kayonza,Gahini
Kayonza,Kabare
Kayonza,Kabarondo
Kayonza,Mukarange
Kayonza,Murama
Kayonza,Murundi
Kayonza,Mwiri
Kayonza,Ndego
Kayonza,Nyamirama
Kayonza,Rukara
Kayonza,Ruramira
Kayonza,Rwinkwavu
Kicukiro,All
Kicukiro,Gahanga
Kicukiro,Gatenga
Kicukiro,Gikondo
Kicukiro,Kagarama
Kicukiro,Kanombe
Kicukiro,Kicukiro
Kicukiro,Kigarama
Kicukiro,Masaka
Kicukiro,Niboye
Kicukiro,Nyarugunga
Kirehe,All
Kirehe,Gahara
Kirehe,Gatore
Kirehe,Kigarama
Kirehe,Kigina
Kirehe,Kirehe
Kirehe,Mahama
Kirehe,Mpanga
Kirehe,Musaza
Kirehe,Mushikiri
Kirehe,Nasho
Kirehe,Nyamugari
Kirehe,Nyarubuye
Muhanga,All
Muhanga,Cyeza
Muhanga,Kabacuzi
Muhanga,Kibangu
Muhanga,Kiyumba
Muhanga,Muhanga
Muhanga,Mushishiro
Muhanga,Nyabinoni
Muhanga,Nyamabuye
Muhanga,Nyarusange
Muhanga,Rongi
Muhanga,Rugendabari
Muhanga,Shyogwe
Musanze,All
Musanze,Busogo
Musanze,Cyuve
Musanze,Gacaca
Musanze,Gashaki
Musanze,Gataraga
Musanze,Kimonyi
Musanze,Kinigi
Musanze,Muhoza
Musanze,Muko
Musanze,Musanze
Musanze,Nkotsi
Musanze,Nyange
Musanze,Remera
Musanze,Rwaza
Musanze,Shingiro
Ngoma,All
Ngoma,Gashanda
Ngoma,Jarama
Ngoma,Karembo
Ngoma,Kazo
Ngoma,Kibungo
Ngoma,Mugesera
Ngoma,Murama
Ngoma,Mutenderi
Ngoma,Remera
Ngoma,Rukira
Ngoma,Rukumberi
Ngoma,Rurenge
Ngoma,Sake
Ngoma,Zaza
Ngororero,All
Ngororero,Bwira
Ngororero,Gatumba
Ngororero,Hindiro
Ngororero,Kabaya
Ngororero,Kageyo
Ngororero,Kavumu
Ngororero,Matyazo
Ngororero,Muhanda
Ngororero,Muhororo
Ngororero,Ndaro
Ngororero,Ngororero
Ngororero,Nyange
Ngororero,Sovu
Nyabihu,All
Nyabihu,Bigogwe
Nyabihu,Jenda
Nyabihu,Jomba
Nyabihu,Kabatwa
Nyabihu,Karago
Nyabihu,Kintobo
Nyabihu,Mukamira
Nyabihu,Muringa
Nyabihu,Rambura
Nyabihu,Rugera
Nyabihu,Rurembo
Nyabihu,Shyira
Nyagatare,All
Nyagatare,Gatunda
Nyagatare,Karama
Nyagatare,Karangazi
Nyagatare,Katabagemu
Nyagatare,Kiyombe
Nyagatare,Matimba
Nyagatare,Mimuri
Nyagatare,Mukama
Nyagatare,Musheri
Nyagatare,Nyagatare
Nyagatare,Rukomo
Nyagatare,Rwempasha
Nyagatare,Rwimiyaga
Nyagatare,Tabagwe
Nyamagabe,All
Nyamagabe,Buruhukiro
Nyamagabe,Cyanika
Nyamagabe,Gasaka
Nyamagabe,Gatare
Nyamagabe,Kaduha
Nyamagabe,Kamegeri
Nyamagabe,Kibirizi
Nyamagabe,Kibumbwe
Nyamagabe,Kitabi
Nyamagabe,Mbazi
Nyamagabe,Mugano
Nyamagabe,Musange
Nyamagabe,Musebeya
Nyamagabe,Mushubi
Nyamagabe,Nkomane
Nyamagabe,Tare
Nyamagabe,Uwinkingi
Nyamasheke,All
Nyamasheke,Bushekeri
Nyamasheke,Bushenge
Nyamasheke,Cyato
Nyamasheke,Gihombo
Nyamasheke,Kagano
Nyamasheke,Kanjongo
Nyamasheke,Karambi
Nyamasheke,Karengera
Nyamasheke,Kirimbi
Nyamasheke,Macuba
Nyamasheke,Mahembe
Nyamasheke,Nyabitekeri
Nyamasheke,Rangiro
Nyamasheke,Ruharambuga
Nyamasheke,Shangi
Nyanza,All
Nyanza,Busasamana
Nyanza,Busoro
Nyanza,Cyabakamyi
Nyanza,Kibilizi
Nyanza,Kigoma
Nyanza,Mukingo
Nyanza,Muyira
Nyanza,Ntyazo
Nyanza,Nyagisozi
Nyanza,Rwabicuma
Nyarugenge,All
Nyarugenge,Gitega
Nyarugenge,Kanyinya
Nyarugenge,Kigali
Nyarugenge,Kimisagara
Nyarugenge,Mageregere
Nyarugenge,Muhima
Nyarugenge,Nyakabanda
Nyarugenge,Nyamirambo
Nyarugenge,Nyarugenge
Nyarugenge,Rwezamenyo
Nyaruguru,All
Nyaruguru,Busanze
Nyaruguru,Cyahinda
Nyaruguru,Kibeho
Nyaruguru,Kivu
Nyaruguru,Mata
Nyaruguru,Muganza
Nyaruguru,Munini
Nyaruguru,Ngera
Nyaruguru,Ngoma
Nyaruguru,Nyabimata
Nyaruguru,Nyagisozi
Nyaruguru,Ruheru
Nyaruguru,Ruramba
Nyaruguru,Rusenge
Rubavu,All
Rubavu,Bugeshi
Rubavu,Busasamana
Rubavu,Cyanzarwe
Rubavu,Gisenyi
Rubavu,Kanama
Rubavu,Kanzenze
Rubavu,Mudende
Rubavu,Nyakiriba
Rubavu,Nyamyumba
Rubavu,Nyundo
Rubavu,Rubavu
Rubavu,Rugerero
Ruhango,All
Ruhango,Bweramana
Ruhango,Byimana
Ruhango,Kabagali
Ruhango,Kinazi
Ruhango,Kinihira
Ruhango,Mbuye
Ruhango,Mwendo
Ruhango,Ntongwe
Ruhango,Ruhango
Rulindo,All
Rulindo,Base
Rulindo,Burega
Rulindo,Bushoki
Rulindo,Buyoga
Rulindo,Cyinzuzi
Rulindo,Cyungo
Rulindo,Kinihira
Rulindo,Kisaro
Rulindo,Masoro
Rulindo,Mbogo
Rulindo,Murambi
Rulindo,Ngoma
Rulindo,Ntarabana
Rulindo,Rukozo
Rulindo,Rusiga
Rulindo,Shyrongi
Rulindo,Tumba
Rusizi,All
Rusizi,Bugarama
Rusizi,Butare
Rusizi,Bweyeye
Rusizi,Gashonga
Rusizi,Giheke
Rusizi,Gihundwe
Rusizi,Gikundamvura
Rusizi,Gitambi
Rusizi,Kamembe
Rusizi,Muganza
Rusizi,Mururu
Rusizi,Nkanka
Rusizi,Nkombo
Rusizi,Nkungu
Rusizi,Nyakabuye
Rusizi,Nyakarenzo
Rusizi,Nzahaha
Rusizi,Rwimbogo
Rutsiro,All
Rutsiro,Boneza
Rutsiro,Gihango
Rutsiro,Kigeyo
Rutsiro,Kivumu
Rutsiro,Manihira
Rutsiro,Mukura
Rutsiro,Murunda
Rutsiro,Musasa
Rutsiro,Mushonyi
Rutsiro,Mushubati
Rutsiro,Nyabirasi
Rutsiro,Ruhango
Rutsiro,Rusebeya
Rwamagana,All
Rwamagana,Fumbwe
Rwamagana,Gahengeri
Rwamagana,Gishali
Rwamagana,Karenge
Rwamagana,Kigabiro
Rwamagana,Muhazi
Rwamagana,Munyaga
Rwamagana,Munyiginya
Rwamagana,Musha
Rwamagana,Muyumbu
Rwamagana,Mwulire
Rwamagana,Nyakaliro
Rwamagana,Nzige
Rwamagana,Rubona
